0,49.629464214,11.249796248
0.2,49.62946423,11.249796279
0.4,49.629464237,11.249796275
0.6,49.62946424,11.249796272
0.8,49.629464244,11.249796258
1,49.629464243,11.249796238
1.2,49.629464237,11.249796247
1.4,49.629464243,11.249796231
1.6,49.629464246,11.249796211
1.8,49.629464267,11.249796197
2,49.629464273,11.249796178
2.2,49.629464283,11.249796153
2.4,49.629464284,11.249796145
2.6,49.629464301,11.249796117
2.8,49.629464297,11.2497961
3,49.629464293,11.249796082
3.2,49.629464285,11.249796085
3.4,49.629464298,11.249796064
3.6,49.629464309,11.249796043
3.8,49.629464296,11.249796043
4,49.629464299,11.249796019
4.2,49.629464301,11.249796015
4.4,49.629464307,11.249795975
4.6,49.629464328,11.249795955
4.8,49.629464334,11.249795931
5,49.629464343,11.249795912
5.2,49.629464341,11.249795899
5.4,49.629464344,11.249795886
5.6,49.629464354,11.249795864
5.8,49.629464367,11.249795845
6,49.629464373,11.249795841
6.2,49.629464367,11.24979584
6.4,49.629464379,11.249795841
6.6,49.629464378,11.249795829
6.8,49.629464383,11.249795792
7,49.629464395,11.249795773
7.2,49.629464416,11.249795753
7.4,49.629464416,11.249795742
7.6,49.629464424,11.249795723
7.8,49.629464429,11.249795723
8,49.629464419,11.249795711
8.2,49.629464423,11.249795708
8.4,49.62946442,11.249795708
8.6,49.629464423,11.249795695
8.8,49.629464433,11.249795687
9,49.629464429,11.249795675
9.2,49.629464455,11.249795682
9.4,49.629464456,11.249795664
9.6,49.62946446,11.249795667
9.8,49.629464466,11.249795637
10,49.629464462,11.24979563
10.2,49.629464469,11.249795621
10.4,49.629464466,11.249795616
10.6,49.629464463,11.249795626
10.8,49.629464469,11.249795614
11,49.629464496,11.249795594
11.2,49.629464496,11.24979561
11.4,49.629464488,11.249795587
11.6,49.629464489,11.249795604
11.8,49.629464488,11.249795623
12,49.629464517,11.24979561
12.2,49.629464523,11.249795588
12.4,49.629464528,11.249795579
12.6,49.629464511,11.249795585
12.8,49.629464502,11.24979559
13,49.629464491,11.249795596
13.2,49.629464491,11.249795597
13.4,49.629464505,11.249795601
13.6,49.629464502,11.2497956
13.8,49.629464492,11.249795606
14,49.629464491,11.249795606
14.2,49.629464487,11.249795609
14.4,49.629464495,11.249795607
14.6,49.629464494,11.249795595
14.8,49.629464491,11.24979559
15,49.629464499,11.249795596
15.2,49.629464492,11.249795599
15.4,49.629464493,11.249795602
15.6,49.629464497,11.249795589
15.8,49.629464501,11.249795602
16,49.629464492,11.249795609
16.2,49.629464489,11.249795599
16.4,49.629464481,11.249795593
16.6,49.629464466,11.249795584
16.8,49.629464471,11.249795585
17,49.629464491,11.249795594
17.2,49.629464479,11.249795602
17.4,49.629464487,11.249795598
17.6,49.629464475,11.249795615
17.8,49.629464462,11.2497956
18,49.629464456,11.2497956
18.2,49.629464461,11.249795612
18.4,49.629464472,11.249795586
18.6,49.629464448,11.249795592
18.8,49.629464464,11.249795611
19,49.629464432,11.249795614
19.2,49.629464443,11.249795623
19.4,49.629464465,11.249795616
19.6,49.629464493,11.249795605
19.8,49.629464503,11.249795595
20,49.629464512,11.249795579
20.2,49.629464505,11.249795576
20.4,49.629464502,11.249795574
20.6,49.629464521,11.249795572
20.8,49.629464536,11.249795578
21,49.629464536,11.249795578
21.2,49.62946452,11.249795575
21.4,49.629464507,11.249795575
21.6,49.629464521,11.249795571
21.8,49.629464532,11.249795575
22,49.629464523,11.249795597
22.2,49.629464533,11.249795588
22.4,49.629464529,11.24979558
22.6,49.629464522,11.249795568
22.8,49.629464527,11.249795554
23,49.629464555,11.249795559
23.2,49.629464576,11.24979558
23.4,49.62946459,11.249795581
23.6,49.629464591,11.249795576
23.8,49.629464589,11.249795543
24,49.629464589,11.249795533
24.2,49.629464607,11.249795518
24.4,49.62946461,11.249795517
24.6,49.629464603,11.249795522
24.8,49.629464613,11.249795526
25,49.629464622,11.249795526
25.2,49.629464631,11.249795531
25.4,49.629464631,11.249795519
25.6,49.629464631,11.249795509
25.8,49.629464645,11.249795503
26,49.629464651,11.249795506
26.2,49.629464654,11.249795508
26.4,49.629464649,11.249795502
26.6,49.629464645,11.249795492
26.8,49.629464655,11.249795492
27,49.629464645,11.249795508
27.2,49.629464656,11.249795513
27.4,49.629464653,11.249795514
27.6,49.629464655,11.249795518
27.8,49.629464653,11.249795523
28,49.62946466,11.249795522
28.2,49.62946465,11.249795543
28.4,49.629464645,11.249795556
28.6,49.629464639,11.249795555
28.8,49.629464638,11.249795547
29,49.62946464,11.249795545
29.2,49.629464648,11.24979554
29.4,49.62946465,11.249795532
29.6,49.629464661,11.249795513
29.8,49.629464665,11.24979551
30,49.629464259,11.249796272
30.2,49.629464224,11.249796339
30.4,49.629464243,11.249796318
30.6,49.629464273,11.249796288
30.8,49.629464286,11.249796271
31,49.629464298,11.249796281
31.2,49.629464285,11.249796274
31.4,49.629464286,11.249796263
31.6,49.6294643,11.24979624
31.8,49.629464295,11.24979624
32,49.629464298,11.249796215
32.2,49.629464295,11.249796175
32.4,49.629464273,11.249796155
32.6,49.629464285,11.249796128
32.8,49.629464297,11.249796121
33,49.629464293,11.249796102
33.2,49.629464283,11.249796099
33.4,49.62946429,11.249796062
33.6,49.629464295,11.249796051
33.8,49.62946428,11.249796035
34,49.629464265,11.249796023
34.2,49.629464265,11.24979599
34.4,49.629464259,11.249795971
34.6,49.629464263,11.249795956
34.8,49.62946425,11.249795945
35,49.629464249,11.249795938
35.2,49.629464244,11.249795921
35.4,49.629464243,11.249795915
35.6,49.629464233,11.249795906
