0,49.629450799,11.249768692
0.2,49.629450818,11.249768666
0.4,49.629450809,11.249768694
0.6,49.629450808,11.249768707
0.8,49.629450801,11.249768713
1,49.62945081,11.249768711
1.2,49.629450803,11.249768716
1.4,49.629450813,11.249768724
1.6,49.629450814,11.249768713
1.8,49.629450826,11.249768719
2,49.629450836,11.249768711
2.2,49.62945084,11.249768702
2.4,49.629450841,11.249768699
2.6,49.629450831,11.249768697
2.8,49.629450832,11.24976871
3,49.62945084,11.249768704
3.2,49.629450821,11.249768723
3.4,49.629450844,11.249768718
3.6,49.629450841,11.249768717
3.8,49.629450836,11.249768725
4,49.629450873,11.24976872
4.2,49.629450873,11.249768718
4.4,49.62945086,11.24976872
4.6,49.629450859,11.249768725
4.8,49.629450867,11.249768742
5,49.629450864,11.249768727
5.2,49.62945087,11.249768719
5.4,49.629450871,11.24976871
5.6,49.629450874,11.249768712
5.8,49.629450856,11.249768718
6,49.62945086,11.249768731
6.2,49.629450885,11.249768727
6.4,49.629450899,11.249768726
6.6,49.629450904,11.249768735
6.8,49.629450915,11.249768726
7,49.629450923,11.249768735
7.2,49.629450909,11.249768737
7.4,49.629450905,11.249768713
7.6,49.629450903,11.249768702
7.8,49.629450905,11.2497687
8,49.62945092,11.24976871
8.2,49.62945094,11.249768709
8.4,49.629450945,11.249768708
8.6,49.629450938,11.249768716
8.8,49.629450942,11.249768725
9,49.629450932,11.249768737
9.2,49.629450923,11.249768735
9.4,49.62945092,11.249768735
9.6,49.629450919,11.249768733
9.8,49.629450941,11.249768731
10,49.629450955,11.249768725
10.2,49.629450959,11.249768714
10.4,49.629450985,11.249768738
10.6,49.629450985,11.249768735
10.8,49.629450987,11.249768738
11,49.629450971,11.249768741
11.2,49.629450978,11.249768746
11.4,49.629450984,11.24976876
11.6,49.629450977,11.24976876
11.8,49.629450986,11.249768766
12,49.629450997,11.249768775
12.2,49.629451003,11.249768765
12.4,49.629451016,11.249768737
12.6,49.629451022,11.249768725
12.8,49.629451012,11.249768733
13,49.62945101,11.249768758
13.2,49.629450995,11.249768759
13.4,49.629450997,11.249768763
13.6,49.629450996,11.249768765
13.8,49.629450997,11.24976878
14,49.629451001,11.249768792
14.2,49.629451007,11.249768794
14.4,49.629451012,11.249768804
14.6,49.629451011,11.249768804
14.8,49.629451012,11.249768814
15,49.629450998,11.249768827
15.2,49.629450989,11.249768841
15.4,49.629450988,11.249768842
15.6,49.629450984,11.249768852
15.8,49.629450989,11.249768841
16,49.629450987,11.249768829
16.2,49.629451013,11.249768826
16.4,49.629451009,11.249768831
16.6,49.629451001,11.24976884
16.8,49.629451003,11.249768847
17,49.629450989,11.249768856
17.2,49.629450979,11.249768853
17.4,49.629450959,11.249768839
17.6,49.629450954,11.249768834
17.8,49.629450959,11.249768838
18,49.629450968,11.249768828
18.2,49.629450974,11.249768835
18.4,49.629450981,11.249768867
18.6,49.629450985,11.249768873
18.8,49.629450986,11.249768893
19,49.629450992,11.249768889
19.2,49.629451005,11.249768874
19.4,49.629450999,11.249768866
19.6,49.629450999,11.249768851
19.8,49.629450965,11.249768843
20,49.629450985,11.249768845
20.2,49.629451004,11.249768844
20.4,49.629450998,11.249768863
20.6,49.629450984,11.249768878
20.8,49.629451006,11.249768869
21,49.629451006,11.249768875
21.2,49.629451016,11.249768866
21.4,49.629451034,11.249768881
21.6,49.629451058,11.249768892
21.8,49.629451075,11.249768887
22,49.629451087,11.249768875
22.2,49.629451079,11.249768857
22.4,49.629451072,11.24976885
22.6,49.629451073,11.249768855
22.8,49.629451056,11.249768854
23,49.629451061,11.249768856
23.2,49.629451078,11.249768842
23.4,49.629451103,11.24976883
23.6,49.629451109,11.249768839
23.8,49.629451113,11.249768841
24,49.629451127,11.249768831
24.2,49.629451142,11.249768817
24.4,49.629451145,11.249768824
24.6,49.629451144,11.249768819
24.8,49.629451147,11.249768815
25,49.629451138,11.249768817
25.2,49.629451148,11.249768816
25.4,49.62945115,11.249768827
25.6,49.629451158,11.249768823
25.8,49.629451165,11.24976881
26,49.629451171,11.249768793
26.2,49.62945117,11.249768787
26.4,49.62945119,11.249768791
26.6,49.629451196,11.249768803
26.8,49.629451199,11.249768797
27,49.629451197,11.249768794
27.2,49.629451196,11.249768794
27.4,49.629451188,11.249768793
27.6,49.629451171,11.249768804
27.8,49.629451174,11.249768808
28,49.629451174,11.249768815
28.2,49.62945119,11.249768833
28.4,49.629451196,11.249768837
28.6,49.62945119,11.249768838
28.8,49.629451184,11.24976885
29,49.629451179,11.249768849
29.2,49.629451166,11.249768861
29.4,49.62945116,11.249768863
29.6,49.629451145,11.249768858
29.8,49.629451143,11.249768844
30,49.629450876,11.249768719
30.2,49.62945085,11.2497687
30.4,49.629450861,11.249768721
30.6,49.629450872,11.249768732
30.8,49.629450882,11.249768749
31,49.629450887,11.249768732
31.2,49.629450876,11.249768693
31.4,49.629450838,11.249768711
31.6,49.62945084,11.249768719
31.8,49.629450824,11.249768697
32,49.629450828,11.249768698
32.2,49.629450836,11.249768653
32.4,49.62945084,11.24976866
32.6,49.629450842,11.249768679
32.8,49.629450853,11.249768692
33,49.629450846,11.24976867
33.2,49.629450831,11.249768664
33.4,49.62945083,11.24976869
33.6,49.629450825,11.249768702
33.8,49.629450823,11.249768712
34,49.629450833,11.249768708
34.2,49.629450836,11.249768713
34.4,49.629450819,11.249768729
34.6,49.629450816,11.249768705
34.8,49.629450827,11.249768706
35,49.629450825,11.249768701
35.2,49.629450824,11.2497687
35.4,49.629450815,11.24976871
35.6,49.629450809,11.249768724
